# Data from Gregory and O'Reilly, NASA R&M 3726 (1970)
# Reynolds number Re=2.88E+06
# Angle of attack alpha=15deg
# Data was digitized from a photocopy, hence is only approximate
# Data for the upper airfoil surface only
# [x/c] [Cp]
-7.59438e-05 -8.65066
0.0024302 -10.1789
0.00450442 -9.72033
0.00870506 -9.04329
0.0129722 -8.67192
0.0167741 -6.16084
0.0467387 -3.99796
0.0769928 -3.16694
0.0964534 -2.68574
0.146315 -2.05038
0.174528 -1.83081
0.287443 -1.23636
0.317853 -1.12586
0.380854 -0.9266
0.443854 -0.727343
0.509042 -0.593492
0.576404 -0.459546
0.635076 -0.347813
0.698095 -0.235891
0.761123 -0.167637
0.8285 -0.0991921
0.893707 -0.0526765
0.954576 -0.0500185
1.00022 -0.00435728
