# Data from Gregory and O'Reilly, NASA R&M 3726 (1970)
# Reynolds number Re=2.88E+06
# Angle of attack alpha=0deg
# Data was digitized from a photocopy, hence is only approximate
# Data for the upper airfoil surface only
# [x/c] [Cp]
0 1
0.0023497 0.847673
0.00496048 0.456198
0.00526903 0.173569
0.0142406 -0.044407
0.0209337 -0.175278
0.0473501 -0.372653
0.0779437 -0.396388
0.0976194 -0.41941
0.128166 -0.418874
0.150001 -0.411087
0.178387 -0.402938
0.289702 -0.36672
0.322431 -0.347115
0.387891 -0.307906
0.448983 -0.268412
0.514442 -0.229203
0.579902 -0.189994
0.638834 -0.159098
0.704317 -0.114629
0.767593 -0.065278
0.835236 -0.026211
0.896305 0.03502
0.959533 0.0978565
1.0009 0.173854
