NACA 2412
 1.00000     0.00126
 0.99280     0.00274
 0.97989     0.00537
 0.96352     0.00862
 0.94455     0.01231
 0.92350     0.01629
 0.90075     0.02045
 0.87658     0.02474
 0.85123     0.02907
 0.82489     0.03340
 0.79774     0.03769
 0.76991     0.04190
 0.74154     0.04600
 0.71275     0.04995
 0.68365     0.05374
 0.65434     0.05734
 0.62492     0.06073
 0.59547     0.06388
 0.56607     0.06679
 0.53680     0.06944
 0.50774     0.07180
 0.47895     0.07387
 0.45050     0.07564
 0.42246     0.07709
 0.39488     0.07821
 0.36782     0.07893
 0.34135     0.07922
 0.31551     0.07907
 0.29035     0.07849
 0.26594     0.07750
 0.24231     0.07609
 0.21951     0.07429
 0.19760     0.07211
 0.17661     0.06957
 0.15660     0.06670
 0.13760     0.06350
 0.11965     0.06001
 0.10280     0.05625
 0.08709     0.05226
 0.07256     0.04805
 0.05924     0.04366
 0.04717     0.03911
 0.03639     0.03443
 0.02694     0.02965
 0.01885     0.02480
 0.01215     0.01988
 0.00688     0.01493
 0.00308     0.00996
 0.00078     0.00498
 0.00000     0.00000
 0.00078    -0.00482
 0.00308    -0.00935
 0.00688    -0.01357
 0.01215    -0.01749
 0.01885    -0.02112
 0.02694    -0.02445
 0.03639    -0.02749
 0.04717    -0.03023
 0.05924    -0.03269
 0.07256    -0.03485
 0.08709    -0.03674
 0.10280    -0.03833
 0.11965    -0.03966
 0.13760    -0.04071
 0.15660    -0.04151
 0.17661    -0.04205
 0.19760    -0.04236
 0.21951    -0.04244
 0.24231    -0.04231
 0.26594    -0.04199
 0.29035    -0.04150
 0.31551    -0.04086
 0.34135    -0.04008
 0.36782    -0.03919
 0.39488    -0.03822
 0.42246    -0.03715
 0.45050    -0.03592
 0.47895    -0.03457
 0.50774    -0.03309
 0.53680    -0.03151
 0.56607    -0.02985
 0.59547    -0.02813
 0.62492    -0.02635
 0.65434    -0.02453
 0.68365    -0.02268
 0.71275    -0.02082
 0.74154    -0.01896
 0.76991    -0.01711
 0.79774    -0.01527
 0.82489    -0.01346
 0.85123    -0.01169
 0.87658    -0.00997
 0.90075    -0.00831
 0.92350    -0.00674
 0.94455    -0.00526
 0.96352    -0.00391
 0.97989    -0.00273
 0.99280    -0.00179
 1.00000    -0.00126
